apt_name,report_id,created,last_update
oilrig,4802,2019-03-20 15:24:54.686679+01,2019-03-20 15:24:54.686679+01
oilrig,4803,2019-03-20 15:24:57.047373+01,2019-03-20 15:24:57.047373+01
oilrig,4804,2019-03-20 15:24:58.012147+01,2019-03-20 15:24:58.012147+01
equation,4804,2019-03-20 15:24:58.013267+01,2019-03-20 15:24:58.013267+01
oilrig,4805,2019-03-20 15:25:00.486316+01,2019-03-20 15:25:00.486316+01
oilrig,4806,2019-03-20 15:25:00.720967+01,2019-03-20 15:25:00.720967+01
apt19,4807,2019-03-20 15:25:00.728844+01,2019-03-20 15:25:00.728844+01
apt19,4808,2019-03-20 15:25:07.680881+01,2019-03-20 15:25:07.680881+01
apt3,4766,2019-03-20 15:25:11.061525+01,2019-03-20 15:25:11.061525+01
winntigroup,4766,2019-03-20 15:25:11.062949+01,2019-03-20 15:25:11.062949+01
apt19,4766,2019-03-20 15:25:11.06479+01,2019-03-20 15:25:11.06479+01
apt19,4810,2019-03-20 15:25:13.774928+01,2019-03-20 15:25:13.774928+01
apt33,4811,2019-03-20 15:25:14.055381+01,2019-03-20 15:25:14.055381+01
apt3,4811,2019-03-20 15:25:14.056449+01,2019-03-20 15:25:14.056449+01
apt19,4811,2019-03-20 15:25:14.057319+01,2019-03-20 15:25:14.057319+01
apt12,4811,2019-03-20 15:25:14.058052+01,2019-03-20 15:25:14.058052+01
oilrig,4811,2019-03-20 15:25:14.058957+01,2019-03-20 15:25:14.058957+01
apt30,4811,2019-03-20 15:25:14.060166+01,2019-03-20 15:25:14.060166+01
apt19,4812,2019-03-20 15:25:14.979526+01,2019-03-20 15:25:14.979526+01
deeppanda,4812,2019-03-20 15:25:14.980767+01,2019-03-20 15:25:14.980767+01
rtm,4813,2019-03-20 15:25:14.985974+01,2019-03-20 15:25:14.985974+01
rtm,4814,2019-03-20 15:25:24.603236+01,2019-03-20 15:25:24.603236+01
monsoon,4815,2019-03-20 15:25:24.619212+01,2019-03-20 15:25:24.619212+01
threatgroup3390,4816,2019-03-20 15:25:30.458431+01,2019-03-20 15:25:30.458431+01
threatgroup3390,4817,2019-03-20 15:25:38.1525+01,2019-03-20 15:25:38.1525+01
threatgroup3390,4818,2019-03-20 15:25:39.43069+01,2019-03-20 15:25:39.43069+01
threatgroup3390,4819,2019-03-20 15:25:41.078872+01,2019-03-20 15:25:41.078872+01
threatgroup3390,4820,2019-03-20 15:25:41.445342+01,2019-03-20 15:25:41.445342+01
threatgroup3390,4821,2019-03-20 15:25:42.289331+01,2019-03-20 15:25:42.289331+01
threatgroup3390,4822,2019-03-20 15:25:43.323977+01,2019-03-20 15:25:43.323977+01
equation,4822,2019-03-20 15:25:43.365057+01,2019-03-20 15:25:43.365057+01
stealthfalcon,4823,2019-03-20 15:25:43.378039+01,2019-03-20 15:25:43.378039+01
suckfly,4824,2019-03-20 15:25:50.329617+01,2019-03-20 15:25:50.329617+01
suckfly,4769,2019-03-20 15:25:56.97647+01,2019-03-20 15:25:56.97647+01
suckfly,4826,2019-03-20 15:25:57.930788+01,2019-03-20 15:25:57.930788+01
strider,4827,2019-03-20 15:25:57.940193+01,2019-03-20 15:25:57.940193+01
strider,4828,2019-03-20 15:26:04.941643+01,2019-03-20 15:26:04.941643+01
strider,4829,2019-03-20 15:26:06.084722+01,2019-03-20 15:26:06.084722+01
equation,4829,2019-03-20 15:26:06.086845+01,2019-03-20 15:26:06.086845+01
strider,4830,2019-03-20 15:26:07.383386+01,2019-03-20 15:26:07.383386+01
equation,4830,2019-03-20 15:26:07.384421+01,2019-03-20 15:26:07.384421+01
neodymium,4831,2019-03-20 15:26:07.389972+01,2019-03-20 15:26:07.389972+01
neodymium,4832,2019-03-20 15:26:15.983493+01,2019-03-20 15:26:15.983493+01
neodymium,4833,2019-03-20 15:26:19.582474+01,2019-03-20 15:26:19.582474+01
