report_id,technique_id,created,last_update
1130,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63,2019-07-12 13:47:57.093162+00,2019-07-12 13:47:57.093162+00
1130,attack-pattern--3257eb21-f9a7-4430-8de1-d8b6e288f529,2019-07-12 13:47:57.101477+00,2019-07-12 13:47:57.101477+00
1130,attack-pattern--f879d51c-5476-431c-aedf-f14d207e4d1e,2019-07-12 13:47:57.109832+00,2019-07-12 13:47:57.109832+00
1130,attack-pattern--f4882e23-8aa7-4b12-b28a-b349c12ee9e0,2019-07-12 13:47:57.118127+00,2019-07-12 13:47:57.118127+00
1130,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,2019-07-12 13:47:57.134899+00,2019-07-12 13:47:57.134899+00
1130,attack-pattern--4b74a1d4-b0e9-4ef1-93f1-14ecc6e2f5b5,2019-07-12 13:47:57.143251+00,2019-07-12 13:47:57.143251+00
1130,attack-pattern--355be19c-ffc9-46d5-8d50-d6a036c675b6,2019-07-12 13:47:57.151619+00,2019-07-12 13:47:57.151619+00
1131,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830,2019-07-12 13:49:27.60607+00,2019-07-12 13:49:27.60607+00
1131,attack-pattern--b2001907-166b-4d71-bb3c-9d26c871de09,2019-07-12 13:49:27.615134+00,2019-07-12 13:49:27.615134+00
1131,attack-pattern--1c338d0f-a65e-4073-a5c1-c06878849f21,2019-07-12 13:49:27.623485+00,2019-07-12 13:49:27.623485+00
1131,attack-pattern--b9f5dbe2-4c55-4fc5-af2e-d42c1d182ec4,2019-07-12 13:49:27.631768+00,2019-07-12 13:49:27.631768+00
1131,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,2019-07-12 13:49:27.640149+00,2019-07-12 13:49:27.640149+00
1131,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,2019-07-12 13:49:27.648431+00,2019-07-12 13:49:27.648431+00
1131,attack-pattern--7dd95ff6-712e-4056-9626-312ea4ab4c5e,2019-07-12 13:49:27.656806+00,2019-07-12 13:49:27.656806+00
1131,attack-pattern--7e150503-88e7-4861-866b-ff1ac82c4475,2019-07-12 13:49:27.67355+00,2019-07-12 13:49:27.67355+00
1131,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,2019-07-12 13:49:27.681825+00,2019-07-12 13:49:27.681825+00
1131,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88,2019-07-12 13:49:27.690187+00,2019-07-12 13:49:27.690187+00
1131,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,2019-07-12 13:49:27.69848+00,2019-07-12 13:49:27.69848+00
1131,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5,2019-07-12 13:49:27.706863+00,2019-07-12 13:49:27.706863+00
1131,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9,2019-07-12 13:49:27.715154+00,2019-07-12 13:49:27.715154+00
1131,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,2019-07-12 13:49:27.723484+00,2019-07-12 13:49:27.723484+00
1131,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735,2019-07-12 13:49:27.732013+00,2019-07-12 13:49:27.732013+00
1131,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,2019-07-12 13:49:27.740151+00,2019-07-12 13:49:27.740151+00
1131,attack-pattern--ae676644-d2d2-41b7-af7e-9bed1b55898c,2019-07-12 13:49:27.748446+00,2019-07-12 13:49:27.748446+00
1131,attack-pattern--731f4f55-b6d0-41d1-a7a9-072a66389aea,2019-07-12 13:49:27.756785+00,2019-07-12 13:49:27.756785+00
1131,attack-pattern--d54416bd-0803-41ca-870a-ce1af7c05638,2019-07-12 13:49:27.765153+00,2019-07-12 13:49:27.765153+00
1131,attack-pattern--9fa07bef-9c81-421e-a8e5-ad4366c5a925,2019-07-12 13:49:27.773457+00,2019-07-12 13:49:27.773457+00
1131,attack-pattern--bb5a00de-e086-4859-a231-fa793f6797e2,2019-07-12 13:49:27.790075+00,2019-07-12 13:49:27.790075+00
1131,attack-pattern--46944654-fcc1-4f63-9dad-628102376586,2019-07-12 13:49:27.798398+00,2019-07-12 13:49:27.798398+00
1131,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0,2019-07-12 13:49:27.806713+00,2019-07-12 13:49:27.806713+00
1131,attack-pattern--51dea151-0898-4a45-967c-3ebee0420484,2019-07-12 13:49:27.815231+00,2019-07-12 13:49:27.815231+00
1131,attack-pattern--f4882e23-8aa7-4b12-b28a-b349c12ee9e0,2019-07-12 13:49:27.823553+00,2019-07-12 13:49:27.823553+00
1131,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,2019-07-12 13:49:27.831865+00,2019-07-12 13:49:27.831865+00
1131,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,2019-07-12 13:49:27.840159+00,2019-07-12 13:49:27.840159+00
1131,attack-pattern--54a649ff-439a-41a4-9856-8d144a2551ba,2019-07-12 13:49:27.872617+00,2019-07-12 13:49:27.872617+00
1131,attack-pattern--72b74d71-8169-42aa-92e0-e7b04b9f5a08,2019-07-12 13:49:27.881831+00,2019-07-12 13:49:27.881831+00
1131,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,2019-07-12 13:49:27.890179+00,2019-07-12 13:49:27.890179+00
1131,attack-pattern--56fca983-1cf1-4fd1-bda0-5e170a37ab59,2019-07-12 13:49:27.898479+00,2019-07-12 13:49:27.898479+00
1131,attack-pattern--6aac77c4-eaf2-4366-8c13-ce50ab951f38,2019-07-12 13:49:27.906845+00,2019-07-12 13:49:27.906845+00
1139,attack-pattern--c21d5a77-d422-4a69-acd7-2c53c1faa34b,2019-07-12 16:53:47.133082+00,2019-07-12 16:53:47.133082+00
1139,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,2019-07-12 16:53:47.16503+00,2019-07-12 16:53:47.16503+00
