keyword,is_alias,apt_name,created,last_update
apt3,t,apt3,2019-03-20 15:23:50.179167+01,2019-03-20 15:23:50.179167+01
gothic panda,t,apt3,2019-03-20 15:23:50.183316+01,2019-03-20 15:23:50.183316+01
gothicpanda,t,apt3,2019-03-20 15:23:50.183316+01,2019-03-20 15:23:50.183316+01
pirpi,t,apt3,2019-03-20 15:23:50.183316+01,2019-03-20 15:23:50.183316+01
ups team,t,apt3,2019-03-20 15:23:50.183316+01,2019-03-20 15:23:50.183316+01
upsteam,t,apt3,2019-03-20 15:23:50.183316+01,2019-03-20 15:23:50.183316+01
buckeye,t,apt3,2019-03-20 15:23:50.183316+01,2019-03-20 15:23:50.183316+01
threat group-0110,t,apt3,2019-03-20 15:23:50.183316+01,2019-03-20 15:23:50.183316+01
threatgroup0110,t,apt3,2019-03-20 15:23:50.183316+01,2019-03-20 15:23:50.183316+01
tg-0110,t,apt3,2019-03-20 15:23:50.183316+01,2019-03-20 15:23:50.183316+01
tg0110,t,apt3,2019-03-20 15:23:50.183316+01,2019-03-20 15:23:50.183316+01
apt30,t,apt30,2019-03-20 15:24:03.459588+01,2019-03-20 15:24:03.459588+01
fin5,t,fin5,2019-03-20 15:24:32.525562+01,2019-03-20 15:24:32.525562+01
oilrig,t,oilrig,2019-03-20 15:24:43.579739+01,2019-03-20 15:24:43.579739+01
helix kitten,t,oilrig,2019-03-20 15:24:43.584617+01,2019-03-20 15:24:43.584617+01
helixkitten,t,oilrig,2019-03-20 15:24:43.584617+01,2019-03-20 15:24:43.584617+01
apt34,t,oilrig,2019-03-20 15:24:43.584617+01,2019-03-20 15:24:43.584617+01
apt19,t,apt19,2019-03-20 15:25:00.723657+01,2019-03-20 15:25:00.723657+01
codoso,t,apt19,2019-03-20 15:25:00.728844+01,2019-03-20 15:25:00.728844+01
c0d0so0,t,apt19,2019-03-20 15:25:00.728844+01,2019-03-20 15:25:00.728844+01
codoso team,t,apt19,2019-03-20 15:25:00.728844+01,2019-03-20 15:25:00.728844+01
codosoteam,t,apt19,2019-03-20 15:25:00.728844+01,2019-03-20 15:25:00.728844+01
sunshop group,t,apt19,2019-03-20 15:25:00.728844+01,2019-03-20 15:25:00.728844+01
sunshopgroup,t,apt19,2019-03-20 15:25:00.728844+01,2019-03-20 15:25:00.728844+01
rtm,t,rtm,2019-03-20 15:25:14.982575+01,2019-03-20 15:25:14.982575+01
monsoon,t,monsoon,2019-03-20 15:25:24.615762+01,2019-03-20 15:25:24.615762+01
threatgroup3390,t,threatgroup3390,2019-03-20 15:25:30.454741+01,2019-03-20 15:25:30.454741+01
threat group-3390,t,threatgroup3390,2019-03-20 15:25:30.454741+01,2019-03-20 15:25:30.454741+01
tg-3390,t,threatgroup3390,2019-03-20 15:25:30.458431+01,2019-03-20 15:25:30.458431+01
tg3390,t,threatgroup3390,2019-03-20 15:25:30.458431+01,2019-03-20 15:25:30.458431+01
emissary panda,t,threatgroup3390,2019-03-20 15:25:30.458431+01,2019-03-20 15:25:30.458431+01
